yearmonth	practice_code	practice	address1	address2	address3	address4	postcode
201512	M92006	COALWAY ROAD MEDICAL PRACTICE           	THE SURGERY              	119 COALWAY RD PENN      	WOLVERHAMPTON            	WEST MIDLANDS            	WV3 7NA                  
201512	M92007	LEA ROAD MEDICAL PRACTICE               	LEA ROAD MEDICAL PRACTICE	35 LEA ROAD PENNFIELDS   	WOLVERHAMPTON            	WEST MIDLANDS            	WV3 0LS                  
201512	M92008	CASTLECROFT MEDICAL PRACTICE            	CASTLECROFT AVENUE       	CASTLECROFT              	WOLVERHAMPTON            	WEST MIDLANDS            	WV3 8JN                  
201512	M92009	PRESTBURY MEDICAL PRACTICE              	81 PRESTWOOD ROAD WEST   	WEDNESFIELD              	WOLVERHAMPTON            	WEST MIDLANDS            	WV11 1HT                 
201512	M92010	TETTENHALL MEDICAL PRACTICE             	HEALTH CENTRE            	LOWER ST TETTENHALL      	WOLVERHAMPTON            	WEST MIDLANDS            	WV6 9LL                  
201512	M92011	PENN MANOR MEDICAL PRACTICE             	PENN MANOR MEDICAL CENTRE	MANOR ROAD  PENN         	WOLVERHAMPTON            	WEST MIDLANDS            	WV4 5PY                  
201512	M92012	DUNCAN STREET PRIMARY CARE PARTNERSHIP  	DUNCAN STREET PCC        	BLAKENHALL               	WOLVERHAMPTON            	WEST MIDLANDS            	WV2 3AN                  
201512	M92013	WODEN ROAD SURGERY                      	THE SURGERY              	WODEN RD HEATH TOWN      	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0BD                 
201512	M92014	DR FOWLER                               	470 STAFFORD ROAD        	                         	WOLVERHAMPTON            	                         	WV10 6AR                 
201512	M92015	DRS PAHWA                               	BILSTON HEALTH CENTRE    	PROUDS LANE  BILSTON     	WOLVERHAMPTON            	                         	WV14 6PW                 
201512	M92016	TUDOR MEDICAL CENTRE                    	TUDOR MEDICAL CENTRE     	1 TUDOR ROAD HEATH TOWN  	WOLVERHAMPTON            	                         	WV10 0LT                 
201512	M92019	KEATS GROVE SURGERY                     	KEATS GROVE SURGERY      	17 KEATS GROVE           	THE SCOTLANDS            	WOLVERHAMPTON            	WV10 8LY                 
201512	M92022	DRS RAJCHOLAN & GEORGE                  	ASHMORE PARK HEALTH CTR. 	GRIFFITHS DRIVE          	ASHMORE PARK  WEDNESFIELD	WOLVERHAMPTON            	WV11 2LH                 
201512	M92024	PARKFIELD MEDICAL CENTRE                	PARKFIELD MEDICAL CENTRE 	255 PARKFIELD ROAD       	PARKFIELDS               	WOLVERHAMPTON            	WV4 6EG                  
201512	M92026	DR BILAS                                	75 GRIFFITHS DRIVE       	ASHMORE PARK             	WEDNESFIELD              	WOLVERHAMPTON            	WV11 2JN                 
201512	M92027	CAERLEON SURGERY                        	CAERLEON SURGERY         	DOVER ST  BILSTON        	WOLVERHAMPTON            	WEST MIDLANDS            	WV14 6AL                 
201512	M92028	THORNLEY STREET MEDICAL CENTRE          	THORNLEY STREET PRACTICE 	40 THORNLEY STREET       	WOLVERHAMPTON            	WEST MIDLANDS            	WV1 1JP                  
201512	M92029	NEWBRIDGE SURGERY                       	THE NEWBRIDGE SURGERY    	255 TETTENHALL ROAD      	WOLVERHAMPTON            	WEST MIDLANDS            	WV6 0DE                  
201512	M92031	DRS PASSI & HANDA                       	LEICESTER STREET MED CTR 	WHITMORE REANS           	WOLVERHAMPTON            	WEST MIDLANDS            	WV6 0PS                  
201512	M92035	ALL SAINTS SURGERY                      	ALL SAINTS SURGERY       	17 CARTWRIGHT STREET     	WOLVERHAMPTON            	WEST MIDLANDS            	WV2 1EU                  
201512	M92039	DR ST PIERRE-LIBBERTON                  	60 CANNOCK ROAD          	WEDNESFIELD              	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 8PJ                 
201512	M92040	MAYFIELD MEDICAL CENTRE                 	272 WILLENHALL ROAD      	                         	WOLVERHAMPTON            	WEST MIDLANDS            	WV1 2GZ                  
201512	M92041	PROBERT ROAD SURGERY                    	PROBERT ROAD             	OXLEY                    	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 6UF                 
201512	M92042	80 TETTENHALL ROAD SURGERY              	80 TETTENHALL ROAD       	TETTENHALL               	WOLVERHAMPTON            	WEST MIDLANDS            	WV1 4TF                  
201512	M92043	PENN SURGERY                            	PENN SURGERY             	2A COALWAY ROAD  PENN    	WOLVERHAMPTON            	WEST MIDLANDS            	WV3 7LR                  
201512	M92044	DRS DE ROSA & WILLIAMS                  	WARSTONES HEALTH CENTRE  	PINFOLD GROVE            	WARSTONES                	WOLVERHAMPTON            	WV4 4PS                  
201512	M92607	WHITMORE REANS MEDICAL PRACTICE         	WHITMORE REANS HEALTH CTR	LOWE ST WHITMORE REANS   	WOLVERHAMPTON            	WEST MIDLANDS            	WV6 0QL                  
201512	M92609	ASHFIELD ROAD SURGERY                   	39 ASHFIELD ROAD         	FORDHOUSES               	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 6QX                 
201512	M92612	GROVE MEDICAL CENTRE                    	GROVE MEDICAL CENTRE     	175 STEELHOUSE LANE      	WOLVERHAMPTON            	WEST MIDLANDS            	WV2 2AU                  
201512	M92627	DR SHARMA                               	BILSTON HEALTH CENTRE    	PROUDS LANE BILSTON      	WOLVERHAMPTON            	WEST MIDLANDS            	WV14 6PW                 
201512	M92629	DRS KHARWADKAR & MAJI                   	68 MARSH LANE            	FORDHOUSES               	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 6RU                 
201512	M92630	EAST PARK MEDICAL PRACTICE              	EAST PARK MED. PRACTICE  	JONESFIELD CRS  EAST PARK	WOLVERHAMPTON            	WEST MIDLANDS            	WV1 2LW                  
201512	M92640	TETTENHALL ROAD MEDICAL PRACTICE        	199 TETTENHALL ROAD      	TETTENHALL               	WOLVERHAMPTON            	WEST MIDLANDS            	WV6 0DD                  
201512	M92642	DR MUNDLUR                              	1 SHALE STREET           	BILSTON                  	WOLVERHAMPTON            	                         	WV14 0HF                 
201512	M92643	DR CHRISTOPHER                          	HEATH TOWN MEDICAL CENTRE	CHERVIL RISE             	HEATH TOWN               	WOLVERHAMPTON            	WV10 0HP                 
201512	M92654	BAGARY'S MEDICAL PRACTICE               	LOW HILL MEDICAL CENTRE  	191 FIRST AVE  LOW HILL  	WOLVERHAMTPON            	WEST MIDLANDS            	WV10 9SX                 
201512	M92657	SHARED CARE GP LIAISON TEAM             	PITT STREET              	                         	WOLVERHAMPTON            	                         	WV3 0NF                  
201512	Y00954	PRIMECARE OOH                           	PHOENIX HEALTH CENTRE    	PARKFIELD ROAD           	WOLVERHAMPTON            	WEST MIDLANDS            	WV4 6ED                  
201512	Y02594	ESSINGTON MEDICAL CENTRE                	HOBNOCK ROAD             	ESSINGTON                	WOLVERHAMPTON            	                         	WV11 2RF                 
201512	Y02636	INTRA HEALTH LIMITED                    	PENNFIELDS HEALTH CENTRE 	UPPER ZOAR STREET        	WOLVERHAMPTON            	WEST MIDLANDS            	WV3 0JH                  
201512	Y02735	ETTINGSHALL MEDICAL CENTRE              	HERBERT STREET           	                         	WOLVERHAMPTON            	WEST MIDLANDS            	WV14 0NF                 
201512	Y02736	SHOWELL PARK HEALTH & WALK IN CENTRE    	FIFTH AVENUE             	SHOWELL PARK  LOW HILL   	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 9ST                 
201512	Y02757	BILSTON URBAN VILLAGE MEDICAL CENTRE    	BILSTON URBAN VILLAGE    	BANKFIELD RD  BILSTON    	WOLVERHAMPTON            	WEST MIDLANDS            	WV14 0EE                 
201512	Y03018	COMPTON PALLIATIVE CARE TEAM            	COMPTON HOSPICE          	4 COMPTON ROAD WEST      	WOLVERHAMPTON            	                         	WV3 9DH                  
201512	Y03457	COMPTON HOSPICE INPATIENT UNIT          	COMPTON HOSPICE          	4 COMPTON ROAD WEST      	WOLVERHAMPTON            	                         	WV3 9DH                  
201512	Y04442	COMPTON HOSPICE                         	4 COMPTON ROAD WEST      	                         	WOLVERHAMPTON            	                         	WV3 9DH                  
201512	Y04805	PHOENIX WALK IN CENTRE                  	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 
201512	Y04845	ADULT COMMUNITY SERVICES                	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 
201512	Y04857	INFECTION PREVENTION                    	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 
201512	Y04859	TISSUE VIABILITY                        	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 
201512	Y04869	DIABETES NURSE                          	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 
201512	Y04907	COMMUNITY MATRONS                       	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 
201512	Y04946	COMMUNITY CHILDREN'S NURSE              	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 
201512	Y04953	HEALTH VISITORS                         	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 
201512	Y04966	HOME IN REACH TEAM                      	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 
201512	Y05083	DISTRICT NURSES                         	NEW CROSS HOSPITAL       	WEDNESFIELD ROAD         	WOLVERHAMPTON            	WEST MIDLANDS            	WV10 0QP                 
